Date,Merchant,Amount
2026-06-04,TfL Travel,-6.33
2026-06-05,Tesco Express,-10.1
2026-06-07,Sainsbury's,-19.42
2026-06-08,Costa Coffee,-6.11
2026-06-08,Pret A Manger,-9.39
2026-06-08,Shell Petrol,-33.2
2026-06-08,Tesco Express,-10.66
2026-06-08,TfL Travel,-8.24
2026-06-11,Tesco Express,-23.77
2026-06-12,Sainsbury's,-34.53
2026-06-12,TfL Travel,-7.66
2026-06-14,Deliveroo,-21.65
2026-06-14,Tesco Express,-32.26
2026-06-16,TfL Travel,-11.47
2026-06-17,Sainsbury's,-62.34
2026-06-17,Tesco Express,-27.96
2026-06-20,Costa Coffee,-3.16
2026-06-20,Deliveroo,-20.62
2026-06-20,Shell Petrol,-42.03
2026-06-20,Tesco Express,-28.68
2026-06-20,TfL Travel,-12.53
2026-06-22,Pret A Manger,-5.42
2026-06-22,Sainsbury's,-40.74
2026-06-22,Transfer to Savings,-386.31
2026-06-23,Tesco Express,-18.33
2026-06-24,TfL Travel,-8.43
2026-06-26,Tesco Express,-23.35
2026-06-27,Sainsbury's,-22.16
2026-06-28,TfL Travel,-2.97
2026-06-29,Boots Pharmacy,-9.37
2026-06-29,Pret A Manger,-11.35
2026-06-29,Tesco Express,-35.38
2026-07-02,British Gas,-87.89
2026-07-02,Costa Coffee,-6.48
2026-07-02,Deliveroo,-20.16
2026-07-02,Sainsbury's,-64.14
2026-07-02,Shell Petrol,-55.74
2026-07-02,Tesco Express,-11.86
2026-07-02,TfL Travel,-3.36
2026-07-05,Tesco Express,-21.7
2026-07-06,TfL Travel,-3.7
2026-07-07,Sainsbury's,-52.01
2026-07-08,Boots Pharmacy,-8.05
2026-07-08,Deliveroo,-30.2
2026-07-08,Tesco Express,-37.86
2026-07-10,TfL Travel,-7.95
2026-07-11,Tesco Express,-37.6
2026-07-12,Sainsbury's,-8.66
2026-07-13,Pret A Manger,-6.41
2026-07-14,Costa Coffee,-3.26
2026-07-14,Deliveroo,-12.21
2026-07-14,Tesco Express,-32.63
2026-07-14,TfL Travel,-12.32
2026-07-17,Boots Pharmacy,-5.8
2026-07-17,Sainsbury's,-55.94
2026-07-17,Tesco Express,-9.74
2026-07-18,TfL Travel,-12.04
2026-07-20,Deliveroo,-22.11
2026-07-20,Pret A Manger,-7.88
2026-07-20,Tesco Express,-5.04
2026-07-20,Transfer to Savings,-383.81
2026-07-22,Sainsbury's,-31.07
2026-07-22,TfL Travel,-4.85
2026-07-23,Tesco Express,-10.01
2026-07-26,Boots Pharmacy,-10.0
2026-07-26,Costa Coffee,-2.95
2026-07-26,Deliveroo,-26.03
2026-07-26,Shell Petrol,-28.51
2026-07-26,Tesco Express,-20.17
2026-07-26,TfL Travel,-13.69
2026-07-27,Pret A Manger,-5.23
2026-07-27,Sainsbury's,-16.6
2026-07-29,Tesco Express,-34.03
2026-07-30,TfL Travel,-10.83
2026-08-01,Sainsbury's,-23.31
2026-08-01,Tesco Express,-12.86
2026-08-03,Pret A Manger,-4.91
2026-08-03,TfL Travel,-12.9
2026-08-04,Boots Pharmacy,-13.09
2026-08-04,Tesco Express,-7.8
2026-08-06,Sainsbury's,-60.13
2026-08-07,Costa Coffee,-5.6
2026-08-07,Deliveroo,-26.26
2026-08-07,Tesco Express,-25.23
2026-08-07,TfL Travel,-6.85
2026-08-10,Pret A Manger,-9.46
2026-08-10,Tesco Express,-32.66
2026-08-11,Sainsbury's,-34.87
2026-08-11,TfL Travel,-10.9
2026-08-13,Boots Pharmacy,-15.94
2026-08-13,Deliveroo,-20.86
2026-08-13,Tesco Express,-8.46
2026-08-15,TfL Travel,-10.41
2026-08-16,Sainsbury's,-54.47
2026-08-16,Tesco Express,-32.41
2026-08-17,Pret A Manger,-5.48
2026-08-19,Costa Coffee,-5.74
2026-08-19,Deliveroo,-24.55
2026-08-19,Tesco Express,-27.44
2026-08-19,TfL Travel,-3.17
2026-08-21,Sainsbury's,-65.8
2026-08-22,Tesco Express,-8.09
2026-08-23,TfL Travel,-12.34
2026-08-24,Pret A Manger,-5.53
2026-08-25,Deliveroo,-28.84
2026-08-25,Tesco Express,-20.81
2026-08-26,Sainsbury's,-24.21
2026-08-27,TfL Travel,-6.13
2026-08-28,Tesco Express,-13.72
2026-08-31,Costa Coffee,-3.01
2026-08-31,Deliveroo,-21.93
2026-08-31,Payday - ACME Ltd,2338.05
2026-08-31,Pret A Manger,-5.18
2026-08-31,Rent - Landlord,-928.29
2026-08-31,Sainsbury's,-42.14
2026-08-31,Tesco Express,-21.29
2026-08-31,TfL Travel,-4.03
